elapsed,action,code,ip_dst_addr,bytes,method,url
1010,TCP_TUNNEL,200,13.107.21.200,8068,CONNECT,c.bing.com:443
344,TCP_TUNNEL,200,34.202.153.158,973,CONNECT,pr-bh.ybp.yahoo.com:443
65,TCP_TUNNEL,200,3.14.96.124,5457,CONNECT,atom.warnermedia.com:443
103,TCP_TUNNEL,200,23.23.250.92,5711,CONNECT,unified.adsafeprotected.com:443
1196,TCP_TUNNEL,200,8.251.185.252,1527198,CONNECT,clips-media-ctl.warnermediacdn.com:443
493,TCP_TUNNEL,200,68.67.161.182,10374,CONNECT,ib.adnxs.com:443
239,TCP_TUNNEL,200,3.231.143.24,4751,CONNECT,bea4.v.fwmrm.net:443
62,TCP_MISS,200,23.40.62.25,1771,GET,http://aia.entrust.net/l1m-chain256.cer
357,TCP_TUNNEL,200,199.127.193.108,5923,CONNECT,a6709203f34992a5095d2bc7ceaf2ec504f651a8.cws.conviva.com:443
406,TCP_TUNNEL,200,3.231.143.24,4977,CONNECT,bea4.v.fwmrm.net:443
400,TCP_TUNNEL,200,23.56.99.67,3919,CONNECT,measure.chase.com:443
196,TCP_TUNNEL,200,8.2.111.39,6813,CONNECT,ssp-cookie.logan.ai:443
457,TCP_TUNNEL,200,199.250.166.129,6224,CONNECT,vae-bid.adsrvr.org:443
584,TCP_TUNNEL,200,3.14.96.124,5939,CONNECT,atom.warnermedia.com:443
450,TCP_TUNNEL,200,52.54.58.37,13443,CONNECT,pixel.adsafeprotected.com:443
578,TCP_TUNNEL,200,52.223.40.198,4714,CONNECT,insight.adsrvr.org:443
559,TCP_TUNNEL,200,142.250.190.130,2241,CONNECT,googleads4.g.doubleclick.net:443
405,TCP_TUNNEL,200,63.140.38.139,4175,CONNECT,smetrics.cnn.com:443
559,TCP_TUNNEL,200,108.156.171.4,6766,CONNECT,dh0c1bz67fuho.cloudfront.net:443
628,TCP_TUNNEL,200,34.111.8.32,1735,CONNECT,events.bouncex.net:443
583,TCP_TUNNEL,200,23.23.250.92,6568,CONNECT,unified.adsafeprotected.com:443
309,TCP_TUNNEL,200,172.217.0.162,6265,CONNECT,ade.googlesyndication.com:443
527,TCP_TUNNEL,200,108.156.184.109,929,CONNECT,sb.scorecardresearch.com:443
515,TCP_TUNNEL,200,13.248.140.122,6067,CONNECT,collector.cdp.cnn.com:443
968,TCP_TUNNEL,200,74.119.119.129,878,CONNECT,bidder.criteo.com:443
354,TCP_TUNNEL,200,35.163.122.238,5986,CONNECT,dt.adsafeprotected.com:443
405,TCP_TUNNEL,200,23.3.13.138,26662,CONNECT,turnip.cdn.turner.com:443
847,TCP_TUNNEL,200,35.227.229.24,1138,CONNECT,licensing.bitmovin.com:443
354,TCP_TUNNEL,200,52.54.58.37,487,CONNECT,pixel.adsafeprotected.com:443
639,TCP_TUNNEL,200,147.28.129.37,5337,CONNECT,prebid.a-mo.net:443
560,TCP_TUNNEL,200,108.156.187.204,1094,CONNECT,aax.amazon-adsystem.com:443
361,TCP_TUNNEL,200,70.42.32.63,4913,CONNECT,b1sync.zemanta.com:443
775,TCP_TUNNEL,200,8.251.185.252,288348,CONNECT,clips-media-ctl.warnermediacdn.com:443
785,TCP_TUNNEL,200,68.67.161.182,13441,CONNECT,ib.adnxs.com:443
209,TCP_TUNNEL,200,3.231.143.24,4884,CONNECT,bea4.v.fwmrm.net:443
771,TCP_TUNNEL,200,68.67.161.182,6619,CONNECT,ib.adnxs.com:443
535,TCP_TUNNEL,200,54.83.89.193,569,CONNECT,logx.optimizely.com:443
847,TCP_TUNNEL,200,23.23.35.108,5811,CONNECT,match.prod.bidr.io:443
321,TCP_TUNNEL,200,108.156.184.41,863,CONNECT,segments.company-target.com:443
864,TCP_TUNNEL,200,54.210.150.141,6126,CONNECT,sync.extend.tv:443
230,TCP_TUNNEL,200,70.42.32.63,4381,CONNECT,b1sync.zemanta.com:443
3152,TCP_TUNNEL,200,143.244.208.184,39,CONNECT,sid.storygize.net:443
1019,TCP_TUNNEL,200,8.251.185.252,804951,CONNECT,clips-media-ctl.warnermediacdn.com:443
1019,TCP_TUNNEL,200,68.67.161.182,1238,CONNECT,ib.adnxs.com:443
1080,TCP_TUNNEL,200,68.67.178.10,5171,CONNECT,secure.adnxs.com:443
